citation_spec_path,anchor,short_ref,test_file,test_name,decl,directive,runs,file_runs,resolution,gate19_credits_it,gate_ref,scenario_excluded,line
openspec/specs/friendly-case-create-form/spec.md,the-case-type-fills-the-title,,tests/e2e/case-create-form.spec.ts,fills the title the chosen case type already answers,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-case-type-fills-the-title,no,360
openspec/specs/friendly-case-create-form/spec.md,a-typed-title-survives,,tests/e2e/case-create-form.spec.ts,leaves a title the handler typed alone,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::a-typed-title-survives,no,388
openspec/specs/friendly-case-create-form/spec.md,the-starting-status-is-stored-but-never-asked-for,,tests/e2e/case-create-form.spec.ts,stores the case type starting status without asking for it,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-starting-status-is-stored-but-never-asked-for,no,406
openspec/specs/friendly-case-create-form/spec.md,the-dialog-carries-no-schema-inspection-tabs,,tests/e2e/case-create-form.spec.ts,keeps Create disabled until a required case type question is answered,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-dialog-carries-no-schema-inspection-tabs,no,445
openspec/specs/friendly-case-create-form/spec.md,the-create-form-uses-two-columns,,tests/e2e/case-create-form.spec.ts,lays the fields out in two columns,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-create-form-uses-two-columns,no,467
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,,tests/e2e/case-create-form.spec.ts,"labels a case type question in words, not as an identifier",test,directive,yes,yes,the anchor matches no scenario in that spec,no,friendly-case-create-form::requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,no,502
openspec/specs/friendly-case-create-form/spec.md,parent-case-is-an-edit-time-field,,tests/e2e/case-create-form.spec.ts,keeps parent case off the create form and on the case itself,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::parent-case-is-an-edit-time-field,no,517
openspec/specs/case-dashboard-view/spec.md,the-progress-tile-is-gone,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the identity row headlines the case, and the KPI tiles are gone",test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-progress-tile-is-gone,no,174
openspec/specs/case-dashboard-view/spec.md,,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the Data panel holds its content directly, with no card inside the card",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,409
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the strip holds exactly six tabs, in order, and no more",test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-strip-holds-six-tabs-and-no-more,no,548
openspec/specs/ncvue-w2-leaves-adoption/spec.md,,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the sidebar Notes tab renders the notes leaf, not an unknown element",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,849
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-004b-empty-dossier-shows-upload-cta-with-drag-and-drop-zone,,tests/e2e/case-documents.spec.ts,a case without documents says so and still offers upload,test,directive,yes,yes,resolves to a scenario,yes,document-zaakdossier::scenario-req-zak-004b-empty-dossier-shows-upload-cta-with-drag-and-drop-zone,no,490
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-006b-restore-is-disabled-for-definitief-documents,,tests/e2e/case-documents.spec.ts,"Versions on a row opens the panel, and restore is refused on a final document",test,directive,yes,yes,resolves to a scenario,yes,document-zaakdossier::scenario-req-zak-006b-restore-is-disabled-for-definitief-documents,no,640
openspec/specs/case-dashboard-view/spec.md,the-number-reads-under-the-title,,tests/e2e/case-header.spec.ts,"the case number, type, status and assignee read under the title",test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-number-reads-under-the-title,no,146
openspec/specs/case-dashboard-view/spec.md,status-and-deadline-sit-in-the-header-row,,tests/e2e/case-header.spec.ts,the status badge and the overdue countdown sit in the row,test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::status-and-deadline-sit-in-the-header-row,no,230
openspec/specs/case-dashboard-view/spec.md,a-case-without-a-status-or-a-deadline-still-has-a-header,,tests/e2e/case-header.spec.ts,a case with no status and no deadline still has a header,test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::a-case-without-a-status-or-a-deadline-still-has-a-header,no,262
openspec/specs/case-dashboard-view/spec.md,no-trail-is-rendered,,tests/e2e/case-header.spec.ts,renders no breadcrumb trail above the case title,test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::no-trail-is-rendered,no,287
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,,tests/e2e/case-header.spec.ts,"the work tabs ARE the strip, in order, with nothing after them",test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-strip-holds-six-tabs-and-no-more,no,321
openspec/specs/case-dashboard-view/spec.md,the-six-tabs-fit-a-laptop-screen,,tests/e2e/case-header.spec.ts,"every work tab is reachable at 1024, with the strip above the fold",test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-six-tabs-fit-a-laptop-screen,no,341
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-surface-is-absent-when-humaniq-is,,tests/e2e/case-hours-leaf.spec.ts,the page renders its own widgets and no hours surface at all,test,directive,yes,yes,"cites openspec/changes/**, which gate-19 does not parse",no,,no,392
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,no-cross-app-register-query-survives,,tests/e2e/case-hours-leaf.spec.ts,the page asks humaniq for nothing,test,directive,yes,yes,"cites openspec/changes/**, which gate-19 does not parse",no,,no,439
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,,tests/e2e/case-hours-leaf.spec.ts,the tile leads with the hours on the case and the caller's own beneath,test,directive,yes,yes,"cites openspec/changes/**, which gate-19 does not parse",no,,no,505
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-leaf-reads-the-right-case,,tests/e2e/case-hours-leaf.spec.ts,booking hours through the dialog raises the headline,test,directive,yes,yes,"cites openspec/changes/**, which gate-19 does not parse",no,,no,607
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,,tests/e2e/case-hours-leaf.spec.ts,"a running timer survives a reload, and stopping it returns the figures",test,directive,yes,yes,"cites openspec/changes/**, which gate-19 does not parse",no,,no,655
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,a case posted to the API is numbered in the year of its start date,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,250
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,an existing number survives an edit to the case,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,269
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,"the New case form asks for no number, and the case gets the next one",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,279
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,a tag added in the sidebar is on the case after a reload,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,345
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,"the Cases index filters on a tag, and offers the filter",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,431
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,"the case shows its lead time, legal basis and archive nomination",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,481
openspec/specs/case-management/spec.md,,,tests/e2e/case-identity.spec.ts,"an archival fact the case does not carry is shown empty, not hidden",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,530
openspec/specs/status-transition-engine/spec.md,display-available-transitions-on-case-detail,,tests/e2e/case-lifecycle-on-the-page.spec.ts,the header row lists only the transitions this user may take,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::display-available-transitions-on-case-detail,yes,255
openspec/specs/status-transition-engine/spec.md,no-transitions-available,,tests/e2e/case-lifecycle-on-the-page.spec.ts,a closed case offers no transitions and says it is closed,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::no-transitions-available,yes,274
openspec/specs/status-transition-engine/spec.md,a-handler-advances-a-case,,tests/e2e/case-lifecycle-on-the-page.spec.ts,a handler advances the case and the strip re-reads it,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::a-handler-advances-a-case,yes,288
openspec/specs/status-transition-engine/spec.md,required-document-guard-evaluation,,tests/e2e/case-lifecycle-on-the-page.spec.ts,a failed guard disables the button and names what is missing,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::required-document-guard-evaluation,yes,333
openspec/specs/status-transition-engine/spec.md,a-final-transition-records-a-result,,tests/e2e/case-lifecycle-on-the-page.spec.ts,closing the case records the result that was picked,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::a-final-transition-records-a-result,yes,366
openspec/specs/status-transition-engine/spec.md,no-result-no-close,,tests/e2e/case-lifecycle-on-the-page.spec.ts,the confirm button stays disabled until a result is picked,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::no-result-no-close,yes,391
openspec/specs/status-transition-engine/spec.md,suspend-then-resume,,tests/e2e/case-lifecycle-on-the-page.spec.ts,suspend puts the marker and Resume in front of the handler,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::suspend-then-resume,yes,411
openspec/specs/status-transition-engine/spec.md,extend-the-term,,tests/e2e/case-lifecycle-on-the-page.spec.ts,extending the term moves the end date by the case type period,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::extend-the-term,yes,444
openspec/specs/status-transition-engine/spec.md,reopen-a-closed-case,,tests/e2e/case-lifecycle-on-the-page.spec.ts,reopening a closed case returns it to the first status,test,directive,yes,yes,resolves to a scenario,yes,status-transition-engine::reopen-a-closed-case,yes,491
openspec/specs/case-dashboard-view/spec.md,the-current-step-is-marked,,tests/e2e/case-lifecycle-on-the-page.spec.ts,the stepper marks the step the case is in,test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-current-step-is-marked,no,533
openspec/specs/case-dashboard-view/spec.md,the-stepper-follows-a-transition,,tests/e2e/case-lifecycle-on-the-page.spec.ts,the stepper follows a transition without a reload,test,directive,yes,yes,resolves to a scenario,yes,case-dashboard-view::the-stepper-follows-a-transition,no,553
openspec/specs/my-work/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"All is the lens you land on, and Mine is one click away",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,512
openspec/specs/my-work/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"Unclaimed shows what nobody has picked up, and the Queue agrees",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,532
openspec/specs/my-work/spec.md,,,tests/e2e/case-list-lenses.spec.ts,All shows the other person's case and the closed one,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,554
openspec/specs/my-work/spec.md,,,tests/e2e/case-list-lenses.spec.ts,choosing a chip replaces the previous one rather than stacking,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,569
openspec/specs/case-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,a closed case leaves Mine,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,597
openspec/specs/case-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Closed shows the closed case and not the open one,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,607
openspec/specs/signalering-widgets/spec.md,,,tests/e2e/case-list-lenses.spec.ts,the Deadline cell counts the days left,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,621
openspec/specs/signalering-widgets/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"a past deadline reads as overdue, and carries the overdue class",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,635
openspec/specs/signalering-widgets/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Overdue shows the open overdue case only,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,653
openspec/specs/case-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Due this week shows the case due in three days and neither neighbour,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,664
openspec/specs/signalering-widgets/spec.md,,,tests/e2e/case-list-lenses.spec.ts,the Overdue stat tile links to exactly the Overdue chip filter,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,683
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,the Tasks index lands on All and offers Mine,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,720
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Unclaimed on Tasks shows the open task nobody holds,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,735
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,All on Tasks shows the completed task too,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,749
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Closed on Tasks shows the completed task and not the open one,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,762
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Overdue on Tasks leaves out the task due later today,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,774
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,Due this week on Tasks holds both edges of the window,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,792
openspec/specs/task-management/spec.md,,,tests/e2e/case-list-lenses.spec.ts,the task row shows the priority REQ-TASK-004 has always asked for,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,819
openspec/specs/case-bulk-status-transition/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"Transition moves the selection, with a reason",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,949
openspec/specs/case-bulk-status-transition/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"no reason, no execute",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,986
openspec/specs/case-bulk-status-transition/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"Suspend then Resume, each with its reason",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,1003
openspec/specs/case-bulk-status-transition/spec.md,,,tests/e2e/case-list-lenses.spec.ts,"Extend term writes the new end date, and leaves the Deadline column alone",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,1050
openspec/specs/case-bulk-status-transition/spec.md,,,tests/e2e/case-list-lenses.spec.ts,the Cases list offers all five bulk actions on a selection,test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,1088
openspec/specs/case-management/spec.md,the-tab-lists-the-cases-objects,,tests/e2e/case-objects.spec.ts,the tab lists this case objects and not another case one,test,directive,yes,yes,resolves to a scenario,yes,case-management::the-tab-lists-the-cases-objects,no,269
openspec/specs/case-management/spec.md,the-tab-lists-the-cases-objects,case-management::the-tab-lists-the-cases-objects,tests/e2e/case-objects.spec.ts,the tab lists this case objects and not another case one,test,directive,yes,yes,short form (spec::slug),yes,case-management::the-tab-lists-the-cases-objects,no,270
openspec/specs/case-management/spec.md,an-empty-case-shows-the-tab,,tests/e2e/case-objects.spec.ts,"a case without objects shows the tab, its empty state and the way out",test,directive,yes,yes,resolves to a scenario,yes,case-management::an-empty-case-shows-the-tab,no,297
openspec/specs/case-management/spec.md,an-empty-case-shows-the-tab,case-management::an-empty-case-shows-the-tab,tests/e2e/case-objects.spec.ts,"a case without objects shows the tab, its empty state and the way out",test,directive,yes,yes,short form (spec::slug),yes,case-management::an-empty-case-shows-the-tab,no,298
openspec/specs/case-management/spec.md,a-linked-object-shows-up-in-the-tab,,tests/e2e/case-objects.spec.ts,an object linked from the case carries that case and shows up in the tab,test,directive,yes,yes,resolves to a scenario,yes,case-management::a-linked-object-shows-up-in-the-tab,no,377
openspec/specs/case-management/spec.md,a-linked-object-shows-up-in-the-tab,case-management::a-linked-object-shows-up-in-the-tab,tests/e2e/case-objects.spec.ts,an object linked from the case carries that case and shows up in the tab,test,directive,yes,yes,short form (spec::slug),yes,case-management::a-linked-object-shows-up-in-the-tab,no,378
openspec/specs/case-management/spec.md,a-link-without-an-object-type-is-refused,,tests/e2e/case-objects.spec.ts,a link without an object type cannot be saved and the field is marked,test,directive,yes,yes,resolves to a scenario,yes,case-management::a-link-without-an-object-type-is-refused,no,437
openspec/specs/case-management/spec.md,a-link-without-an-object-type-is-refused,case-management::a-link-without-an-object-type-is-refused,tests/e2e/case-objects.spec.ts,a link without an object type cannot be saved and the field is marked,test,directive,yes,yes,short form (spec::slug),yes,case-management::a-link-without-an-object-type-is-refused,no,438
openspec/specs/case-management/spec.md,one-building-two-cases,,tests/e2e/case-objects.spec.ts,the index finds one building on two cases and leaves the vehicle out,test,directive,yes,yes,resolves to a scenario,yes,case-management::one-building-two-cases,no,498
openspec/specs/case-management/spec.md,one-building-two-cases,case-management::one-building-two-cases,tests/e2e/case-objects.spec.ts,the index finds one building on two cases and leaves the vehicle out,test,directive,yes,yes,short form (spec::slug),yes,case-management::one-building-two-cases,no,499
openspec/specs/case-management/spec.md,a-row-opens-its-case,,tests/e2e/case-objects.spec.ts,"View case on a row opens that row case, not the row",test,directive,yes,yes,resolves to a scenario,yes,case-management::a-row-opens-its-case,no,524
openspec/specs/case-management/spec.md,a-row-opens-its-case,case-management::a-row-opens-its-case,tests/e2e/case-objects.spec.ts,"View case on a row opens that row case, not the row",test,directive,yes,yes,short form (spec::slug),yes,case-management::a-row-opens-its-case,no,525
openspec/specs/case-management/spec.md,the-sidebar-groups-by-object-type,,tests/e2e/case-objects.spec.ts,the sidebar groups by object type and All objects brings every row back,test,directive,yes,yes,resolves to a scenario,yes,case-management::the-sidebar-groups-by-object-type,no,558
openspec/specs/case-management/spec.md,the-sidebar-groups-by-object-type,case-management::the-sidebar-groups-by-object-type,tests/e2e/case-objects.spec.ts,the sidebar groups by object type and All objects brings every row back,test,directive,yes,yes,short form (spec::slug),yes,case-management::the-sidebar-groups-by-object-type,no,559
openspec/specs/roles-decisions/spec.md,parties-visible-on-the-case,,tests/e2e/case-parties.spec.ts,"the tab lists this case parties with their delegation, and not another case one",test,directive,yes,yes,resolves to a scenario,yes,roles-decisions::parties-visible-on-the-case,no,352
openspec/specs/roles-decisions/spec.md,parties-visible-on-the-case,roles-decisions::parties-visible-on-the-case,tests/e2e/case-parties.spec.ts,"the tab lists this case parties with their delegation, and not another case one",test,directive,yes,yes,short form (spec::slug),yes,roles-decisions::parties-visible-on-the-case,no,353
openspec/specs/roles-decisions/spec.md,a-case-without-parties-says-so,,tests/e2e/case-parties.spec.ts,a case without parties shows the empty state and the Add party action,test,directive,yes,yes,resolves to a scenario,yes,roles-decisions::a-case-without-parties-says-so,no,416
openspec/specs/roles-decisions/spec.md,a-case-without-parties-says-so,roles-decisions::a-case-without-parties-says-so,tests/e2e/case-parties.spec.ts,a case without parties shows the empty state and the Add party action,test,directive,yes,yes,short form (spec::slug),yes,roles-decisions::a-case-without-parties-says-so,no,417
openspec/specs/roles-decisions/spec.md,add-a-party-with-the-case-prefilled,,tests/e2e/case-parties.spec.ts,a party added from the case carries that case and shows up in the tab,test,directive,yes,yes,resolves to a scenario,yes,roles-decisions::add-a-party-with-the-case-prefilled,no,487
openspec/specs/roles-decisions/spec.md,add-a-party-with-the-case-prefilled,roles-decisions::add-a-party-with-the-case-prefilled,tests/e2e/case-parties.spec.ts,a party added from the case carries that case and shows up in the tab,test,directive,yes,yes,short form (spec::slug),yes,roles-decisions::add-a-party-with-the-case-prefilled,no,488
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,,tests/e2e/case-parties.spec.ts,a team picked on the case page is stored and shows in the Team column,test,directive,yes,yes,resolves to a scenario,yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,556
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,role-routing-via-or-rbac::assign-a-case-to-a-team,tests/e2e/case-parties.spec.ts,a team picked on the case page is stored and shows in the Team column,test,directive,yes,yes,short form (spec::slug),yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,557
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,,tests/e2e/case-parties.spec.ts,a case with a team shows it in the Team column and keeps its assignee,test,directive,yes,yes,resolves to a scenario,yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,654
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,role-routing-via-or-rbac::assign-a-case-to-a-team,tests/e2e/case-parties.spec.ts,a case with a team shows it in the Team column and keeps its assignee,test,directive,yes,yes,short form (spec::slug),yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,655
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,,tests/e2e/case-parties.spec.ts,the Team facet lists the team with a count of one,test,directive,yes,yes,resolves to a scenario,yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,687
openspec/specs/role-routing-via-or-rbac/spec.md,assign-a-case-to-a-team,role-routing-via-or-rbac::assign-a-case-to-a-team,tests/e2e/case-parties.spec.ts,the Team facet lists the team with a count of one,test,directive,yes,yes,short form (spec::slug),yes,role-routing-via-or-rbac::assign-a-case-to-a-team,no,688
openspec/specs/role-routing-via-or-rbac/spec.md,mine-shows-only-my-cases,,tests/e2e/case-parties.spec.ts,the Mine chip narrows the list to my own cases,test,directive,yes,yes,resolves to a scenario,yes,role-routing-via-or-rbac::mine-shows-only-my-cases,no,792
openspec/specs/role-routing-via-or-rbac/spec.md,mine-shows-only-my-cases,role-routing-via-or-rbac::mine-shows-only-my-cases,tests/e2e/case-parties.spec.ts,the Mine chip narrows the list to my own cases,test,directive,yes,yes,short form (spec::slug),yes,role-routing-via-or-rbac::mine-shows-only-my-cases,no,793
openspec/specs/initiator-selection/spec.md,,,tests/e2e/case-requester.spec.ts,"the New case form asks for a requester, and the field is enabled",test,directive,yes,yes,no anchor: cites a whole spec file,no,,no,294
