citation_spec_path,anchor,test_file,test_name,verdict,justification,safety_relevant,gate19_credits_it,resolution,decisive_assertion,test_runs,scenario_marked_exclude,verdict_2026_09_11
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,newest-first,tests/e2e/case-communication.spec.ts,the newest contact is the first row,verified,"Reads the rendered row order and pins the later start time to index 0 and the earlier one to index 1, so a sort on write order instead of startTime reddens it.",no,yes,resolves to a scenario,"expect(later, `rows: ${texts.join(' | ')}`).toBe(0)",yes,no,not measured
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,an-empty-case-still-shows-the-list,tests/e2e/case-communication.spec.ts,a case without contacts shows the tab and its empty state,verified,"Asserts the empty-state sentence in either locale and separately asserts every contactmoment query came back under 400, so a 404'd query can no longer pass as an empty case.",no,yes,resolves to a scenario,"await expect(widget).toContainText(/No contact logged on this case yet|Nog geen contact vastgelegd op deze zaak/, { timeout: 20_000 })",yes,no,not measured
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-form-does-not-ask-for-the-kcc-fields,tests/e2e/case-communication.spec.ts,the Log contact form asks for five fields and none of the KCC ones,verified,"Asserts each of identificationMethod, nature and kccEmployeeId has zero field nodes in the open dialog; the scenario's second clause, that kccEmployeeId is still stored for the signed-in user, is asserted in the sibling logged-call test rather than here.",no,yes,resolves to a scenario,"await expect(dialog.locator(`[data-cn-field=""${key}""]`), `${key} is seeded, never asked`).toHaveCount(0)",yes,no,not measured
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-form-never-asks-which-case,tests/e2e/case-communication.spec.ts,the Log contact form asks for five fields and none of the KCC ones,verified,"Asserts the dialog renders no case field at all, and the sibling assertion on the stored row proves the case still reaches the object, so a form that started asking which case reddens it.",no,yes,resolves to a scenario,"await expect(dialog.locator('[data-cn-field=""case""]')).toHaveCount(0)",yes,no,not measured
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,a-contact-logged-on-the-case-carries-the-case,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,verified,"Fills and saves the real Log contact form, then reads the STORED object back over the API and pins both case and relatedCases to the open case, so a form that dropped the seeded case reddens it.",no,yes,resolves to a scenario,expect(String(stored.case)).toBe(formCaseId),yes,no,not measured
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,a-logged-call-shows-up-in-the-list,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,verified,"After saving, reopens the Communication tab and requires exactly one row carrying the typed summary with channel phone and direction inbound, so a save that never reached the list reddens it.",no,yes,resolves to a scenario,"await expect(row).toHaveCount(1, { timeout: 20_000 })",yes,no,not measured
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-001-the-new-case-dialog-is-the-plain-form,tests/e2e/case-create-form.spec.ts,"opens the plain form, not the properties and JSON table",verified,"Judged against REQ-FCF-001, which the anchor lands on: asserts neither a Properties nor a Data tab is in the dialog and that Create is offered, so a revert to the advanced properties-and-JSON dialog reddens it; the anchor still names a requirement rather than a scenario, so gate-19 credits nothing, and the repair is to re-anchor at #the-dialog-carries-no-schema-inspection-tabs.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","await expect(dialog.getByRole('tab', { name: 'Properties' })).toHaveCount(0)",yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-001-the-new-case-dialog-is-the-plain-form,tests/e2e/case-create-form.spec.ts,asks only for the fields a handler fills,verified,"Judged against REQ-FCF-001's includeFields half: loops every create field asserting exactly one renders and asserts the hidden and engine fields render none, so dropping a create field or letting result or workflowTemplate back in reddens it; note the test's list holds ten fields including requester where the spec text still says nine, and presence-plus-named-absence does not police the requirement's word EXACTLY, so an eleventh unexpected field would pass. Re-anchor at #the-dialog-asks-only-for-create-time-fields.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","await expect(dialog.locator(`[data-cn-field=""${key}""]`), `the create form should ask for ${key}`).toHaveCount(1)",yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,"adds the chosen case type own questions, and drops them again on a change",verified,"Judged against REQ-FCF-003: asserts the case type's question is absent before a type is chosen and that both of its questions render after, so a form that stopped extending on caseType reddens it; the test's NAME claims it drops them again on a change and the body never changes the case type nor asserts any drop, and it reads the labels rather than the seeded defaultValue. Re-anchor at #choosing-a-case-type-adds-its-questions.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing",await expect(dialog.getByText(CEILING)).toBeVisible({ timeout: 15000 }),yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,files a case with its case type answers,partial,"Right surface, and it does catch an answer written nowhere, but it deliberately accepts EITHER store, reading created.properties before falling back to caseProperty rows, which is precisely the shape REQ-FCF-003 forbids when it says answers are never properties of the case itself; it never asserts the case was created without a dynamic key, so a build that stores every answer on the case passes. Either the test is anti-coverage for that clause or the requirement is stale since 7882afdc, and one of the two has to move. Re-anchor at #answers-are-stored-against-the-case-not-in-it.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","expect(answers.length, 'the case type answer should have been written, on the case or as a caseProperty row').toBeGreaterThan(0)",yes,no,partial
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,fills the title the chosen case type already answers,verified,"Judged against REQ-FCF-005: asserts the title box is empty first, so nothing passes for the wrong reason, then that choosing the case type fills it with that type's title, which is the prefill mapping the requirement declares. Re-anchor at #the-case-type-fills-the-title.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","await expect(titleInput).toHaveValue(CASE_TYPE_TITLE, { timeout: 15000 })",yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,leaves a title the handler typed alone,verified,"Judged against REQ-FCF-005's only-an-empty-target-is-written clause: types a title, waits for the case type's questions to arrive so the prefill has demonstrably run, and asserts the typed value survived, so a prefill that overwrote a filled field reddens it.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing",await expect(titleInput).toHaveValue(typed),yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,stores the case type starting status without asking for it,verified,"Judged against REQ-FCF-005's status clause, and it asserts both halves: no status field renders in the dialog, and the created case reads back from the API holding the case type's initial status, so this is a claim about what got stored and not only about the response. Re-anchor at #the-starting-status-is-stored-but-never-asked-for.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing",expect(String(created.status)).toBe(startStatusId),yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,keeps Create disabled until a required case type question is answered,verified,"Asserts the case type's question renders before touching the button, so a break in REQ-FCF-003 itself reddens it; but its real subject, Create staying disabled until a required field is answered, is stated in REQ-FCF-001's scenario #the-dialog-carries-no-schema-inspection-tabs and not under the requirement this cites, so the re-anchor for this one crosses requirements rather than dropping one level.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing",await expect(create).toBeDisabled(),yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,tests/e2e/case-create-form.spec.ts,lays the fields out in two columns,verified,"Judged against REQ-FCF-006: measures rather than infers, asserting exactly two distinct left edges among the single-line fields and a description box more than half again the width of the title, so the class applying while the CSS does not still reddens it; the sub-700px collapse and the opt-in-per-action clause are untested. Re-anchor at #the-create-form-uses-two-columns.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing",expect(new Set(lefts).size).toBe(2),yes,no,verified
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,tests/e2e/case-create-form.spec.ts,"labels a case type question in words, not as an identifier",partial,"Right surface, wrong requirement: every assertion here is about a definition name rendering in sentence case, and REQ-FCF-006, which the anchor lands on, is about two columns and a full-width multi-line widget, so breaking the layout leaves this test green. The claim it does prove is stated in REQ-FCF-003's prose, whose nearest scenario is #choosing-a-case-type-adds-its-questions, and no scenario anywhere states the sentence-case rule outright, so one has to be written before this citation can credit anything.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","await expect(dialog.getByText(IDENTIFIER_LABEL, { exact: true })).toBeVisible()",yes,no,partial
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-007-a-field-kept-off-the-create-form-stays-reachable-on-the-case,tests/e2e/case-create-form.spec.ts,keeps parent case off the create form and on the case itself,verified,"Judged against REQ-FCF-007, and it asserts both halves the requirement turns on: no parentCase field in the create dialog, and the field present in the case's own Data panel afterwards, scoped to that widget and matched in either locale; the clause that decisions appear on neither surface is not checked. Re-anchor at #parent-case-is-an-edit-time-field.",no,no,"the anchor names a heading in that spec, but not a scenario, so gate-19 credits nothing","await expect(coreWidget, 'parent case should be editable on the case, though not on the create form').toContainText(/Parent case|Hoofdzaak/)",yes,no,verified
openspec/specs/case-dashboard-view/spec.md,the-progress-tile-is-gone,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the identity row headlines the case, and the KPI tiles are gone",verified,"Asserts both halves the scenario names: no KPI card reading Completed, and an empty recorded list of milestones/progress requests, so removing the tile while leaving the fetch still reddens it.",no,yes,resolves to a scenario,"expect(milestoneCalls, 'the case page no longer asks for milestone progress').toEqual([])",yes,no,verified
openspec/specs/case-dashboard-view/spec.md,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the Data panel holds its content directly, with no card inside the card",verified,"The citation names no requirement, only the spec file, so this is judged against the file as a whole: it opens the Data tab and proves it renders the case-core content REQ-CDV-16 says that tab holds, while the card-chrome assertions it spends most of its body on back nothing the spec states.",no,no,no anchor: cites a whole spec file,"await expect(panel).toContainText(/Case type|Zaaktype/, { timeout: 20_000 })",yes,no,partial
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the strip holds exactly six tabs, in order, and no more",verified,"Asserts an exact tab count and an exact ordered label list, not a presence check, so a seventh tab or a reorder reddens it, and separately asserts each retired label has zero tabs.",no,yes,resolves to a scenario,expect(labels).toEqual(TAB_LABELS),yes,no,verified
openspec/specs/ncvue-w2-leaves-adoption/spec.md,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the sidebar Notes tab renders the notes leaf, not an unknown element",partial,"The citation names no requirement, only the spec file, and none of that file's five requirements (saved views, multi-column sort, mention notification, version-history tab, notifier subjects) is asserted; the test proves only that the Notes tab mounts CnNotesTab with its composer, and a conditional test.skip on a missing tab button means the tab vanishing reports as a skip rather than a failure.",no,no,no anchor: cites a whole spec file,await expect(panel.locator('.cn-sidebar-tab__composer').first()).toBeVisible({ timeout: 15_000 }),yes,no,partial
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-004b-empty-dossier-shows-upload-cta-with-drag-and-drop-zone,tests/e2e/case-documents.spec.ts,a case without documents says so and still offers upload,verified,"Asserts the empty-state text, the Upload document button and that every /dossier response was under 400, so removing the empty state or the upload affordance reddens it; the drag-and-drop zone indicator the scenario also names is never located.",no,yes,resolves to a scenario,"await expect(panel.getByRole('button', { name: /Upload document/ }).first()).toBeVisible()",yes,no,verified
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-006b-restore-is-disabled-for-definitief-documents,tests/e2e/case-documents.spec.ts,"Versions on a row opens the panel, and restore is refused on a final document",partial,"The disabled check runs inside a loop over restore.count(), so an instance whose version panel lists no versions passes with no assertion executed, and the scenario's other halves, both versions listed and the hover message, are deliberately not asserted; the only unconditional line is the fixture read that the document is final.",yes,yes,resolves to a scenario,for (let index = 0; index < (await restore.count()); index++) { await expect(restore.nth(index)).toBeDisabled() },yes,no,partial
openspec/specs/case-dashboard-view/spec.md,the-number-reads-under-the-title,tests/e2e/case-header.spec.ts,"the case number, type, status and assignee read under the title",partial,"The scenario says the SUBTITLE under the title reads the identifier, which the requirement ties to config.subtitleField; the test reads case-header-identifier, a dd inside CaseHeaderRow.vue, so dropping subtitleField from the manifest leaves every assertion here green, and the page title itself is never asserted either.",no,yes,resolves to a scenario,"await expect(page.getByTestId('case-header-identifier')).toHaveText(caseIdentifier, { timeout: 20_000 })",yes,no,verified
openspec/specs/case-dashboard-view/spec.md,status-and-deadline-sit-in-the-header-row,tests/e2e/case-header.spec.ts,the status badge and the overdue countdown sit in the row,verified,"Asserts the badge resolves the status uuid to the seeded status NAME, that the countdown carries the is-danger band and a day count, and that the retired Time left tile has zero nodes.",no,yes,resolves to a scenario,await expect(countdown).toHaveClass(/is-danger/),yes,no,verified
openspec/specs/case-dashboard-view/spec.md,a-case-without-a-status-or-a-deadline-still-has-a-header,tests/e2e/case-header.spec.ts,a case with no status and no deadline still has a header,verified,"Seeds a case type with no statuses and no term and asserts the badge reads Unknown or Onbekend rather than being absent, and that the countdown element has a count of zero.",no,yes,resolves to a scenario,"await expect(page.getByTestId('case-header-status')).toHaveText(/^\s*(Unknown|Onbekend)\s*$/, { timeout: 20_000 })",yes,no,verified
openspec/specs/case-dashboard-view/spec.md,no-trail-is-rendered,tests/e2e/case-header.spec.ts,renders no breadcrumb trail above the case title,verified,"Asserts the breadcrumbs testid has zero nodes and, separately, that no element carries both the case title and aria-current=page, which is the trail's own signature and cannot be confounded by the sidebar repeating the title.",no,yes,resolves to a scenario,"await expect(page.locator('[aria-current=""page""]').filter({ hasText: caseTitle })).toHaveCount(0)",yes,no,verified
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,tests/e2e/case-header.spec.ts,"the work tabs ARE the strip, in order, with nothing after them",verified,"Reads every tab label off the strip and compares the whole list to the exact six, so an extra tab, a reorder or a retired Files, Notes, Mail or Decisions tab reddens it.",no,yes,resolves to a scenario,expect(labels).toEqual(WORK_TABS),yes,no,verified
openspec/specs/case-dashboard-view/spec.md,the-six-tabs-fit-a-laptop-screen,tests/e2e/case-header.spec.ts,"every work tab is reachable at 1024, with the strip above the fold",verified,"At a 1024 viewport it asserts the strip starts above y=768 and that all six tab boxes have non-zero width and height and lie inside 0 to 1024, so a clipped or off-screen tab reddens it.",no,yes,resolves to a scenario,"expect(box.right, `${tab} ends at x=${box.right}, past the 1024px viewport`).toBeLessThanOrEqual(1024)",yes,no,verified
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-surface-is-absent-when-humaniq-is,tests/e2e/case-hours-leaf.spec.ts,the page renders its own widgets and no hours surface at all,verified,"Asserts the leaf widget, its caption, the hours heading in either locale and every booking hook are absent on an install without humaniq, so a cell that came back printing 0 reddens it.",no,no,"cites openspec/changes/**, which gate-19 does not parse","await expect(page.getByText(HOURS_TITLE), 'no hours heading may render when the leaf behind it is not registered, by any route').toHaveCount(0)",yes,no,verified
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,no-cross-app-register-query-survives,tests/e2e/case-hours-leaf.spec.ts,the page asks humaniq for nothing,verified,"Collects every request whose URL names humaniq or hrmq and requires the list to be empty, so restoring the manifest register query on CaseDetail reddens it; it reads runtime traffic rather than the manifest text, so a humaniq register named on some other page would escape.",no,no,"cites openspec/changes/**, which gate-19 does not parse","expect(asked, `the case page queried humaniq: ${asked.join(' | ')}...`).toEqual([])",yes,no,partial
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,tests/e2e/case-hours-leaf.spec.ts,the tile leads with the hours on the case and the caller's own beneath,verified,"Asserts the caption, the case total, the caller's own share as real numbers, no bookings listed, the stopwatch and exactly one action button, which is the whole scenario; note this half of the file only registers under DOSSIQ_E2E_HUMANIQ=1 and the header says it has never had a green run.",no,no,"cites openspec/changes/**, which gate-19 does not parse","await readFigure(widget.getByTestId(HOOK.own), ""the caller's own hours"")",yes,no,verified
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-leaf-reads-the-right-case,tests/e2e/case-hours-leaf.spec.ts,booking hours through the dialog raises the headline,partial,"Books through the dialog and asserts the headline rose by the booked hours, but write and read both derive the same case literal, so a leaf filtering on the WRONG domainObjectRef stays green; it never asserts domainObjectType is dossiq:case or that the literal came from the page config.",no,no,"cites openspec/changes/**, which gate-19 does not parse",".poll(async () => pollFigure(widget.getByTestId(HOOK.total))).toBeCloseTo(before + BOOKED_HOURS, 2)",yes,no,partial
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,tests/e2e/case-hours-leaf.spec.ts,"a running timer survives a reload, and stopping it returns the figures",verified,"Its subject is timer persistence, which the cited scenario does not state, but it does require the widget to render and its total to print a number, so the scenario's core render claim reddens; the caller's own share and the no-bookings-listed half are asserted only in the sibling test.",no,no,"cites openspec/changes/**, which gate-19 does not parse","const before = await readFigure(widget.getByTestId(HOOK.total), 'the total before the timer ran')",yes,no,partial
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,a case posted to the API is numbered in the year of its start date,verified,"the citation names no requirement, only the file; the test posts a case with no identifier and asserts the stored value matches YYYY-NNNN with the year of its start date, which is REQ-CM-25",no,no,no anchor: cites a whole spec file,"expect(String(stored.identifier).slice(0, 4), 'the year half is the year of the start date').toBe('2026')",yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,an existing number survives an edit to the case,verified,"the citation names no requirement, only the file; the test retitles a case holding BZW-2025-17 and asserts the stored identifier is unchanged, which is REQ-CM-25's keep clause",no,no,no anchor: cites a whole spec file,expect(stored.identifier).toBe(LEGACY_IDENTIFIER),yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the New case form asks for no number, and the case gets the next one",verified,"the citation names no requirement, only the file; the test asserts the New case dialog offers no identifier field, that the filed case takes a sequence higher than every number of that year, and that the number shows in the case Data panel",no,no,no anchor: cites a whole spec file,"expect(sequence, 'the new case must take a number no case of this year already holds').toBeGreaterThan(before)",yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,a tag added in the sidebar is on the case after a reload,verified,"the citation names no requirement, only the file; the test drives the sidebar Tags tab end to end and asserts the stored tags contain spoed and that the tab still shows it after a reload, not merely that the editor closed",no,no,no anchor: cites a whole spec file,"expect.poll(async () => (await showObject(api, 'case', tagCaseId)).tags ?? [], ...).toContain(TYPED_TAG)",yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the Cases index filters on a tag, and offers the filter",verified,"the citation names no requirement, only the file; the test asserts both tagged cases are listed and all three untagged cases of the same type are absent, so a filter that narrowed nothing reddens",no,no,no anchor: cites a whole spec file,"await expect(page.getByText(`${RUN_PREFIX} plain case ${suffix}`), 'an untagged case must not survive the filter').toHaveCount(0)",yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the case shows its lead time, legal basis and archive nomination",verified,"the citation names no requirement, only the file; the test asserts statutoryTerm is materialised as P56D over the API and that the Terms block renders the deadline and the legal basis, then that the metadata panel groups the archival facts and names the nomination",no,no,no anchor: cites a whole spec file,await expect(terms).toContainText(LEGAL_BASIS),yes,no,verified
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"an archival fact the case does not carry is shown empty, not hidden",verified,"the citation names no requirement, only the file; the test asserts the Record state row is present exactly once and carries the empty-value modifier while the populated Appraisal row does not, so a panel that hid the unset fact or rendered uniformly blank reddens",no,no,no anchor: cites a whole spec file,await expect(row.locator('.cn-detail-grid__value--empty')).toHaveCount(1),yes,no,not measured
openspec/specs/status-transition-engine/spec.md,display-available-transitions-on-case-detail,tests/e2e/case-lifecycle-on-the-page.spec.ts,the header row lists only the transitions this user may take,verified,"Asserts the role-permitted transition is offered and the Afdelingshoofd-only one is absent, plus that a transition out of another status is absent, so widening the role filter reddens it.",yes,yes,resolves to a scenario,await expect(page.getByTestId(`case-transition-${T.approve}`)).toHaveCount(0),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,no-transitions-available,tests/e2e/case-lifecycle-on-the-page.spec.ts,a closed case offers no transitions and says it is closed,verified,"Asserts both halves of the scenario, the closed marker visible and both transition buttons absent on a final status, so offering a transition on a closed case reddens it.",no,yes,resolves to a scenario,await expect(page.getByTestId(`case-transition-${T.close}`)).toHaveCount(0),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,a-handler-advances-a-case,tests/e2e/case-lifecycle-on-the-page.spec.ts,a handler advances the case and the strip re-reads it,verified,"Reads the stored case back after confirming, asserts the transition-history row names the new status, and asserts the header strip re-read without a reload, so it catches a move that only looked right in the UI.",no,yes,resolves to a scenario,"const moved = await showObject(request, 'case', cases.advance); expect(moved.status).toBe(statusProgress)",yes,yes,verified
openspec/specs/status-transition-engine/spec.md,required-document-guard-evaluation,tests/e2e/case-lifecycle-on-the-page.spec.ts,a failed guard disables the button and names what is missing,verified,"Asserts the button is disabled, that the reason beside it names the missing document type, and that the stored status did not move, which is the refusal the scenario describes.",yes,yes,resolves to a scenario,await expect(reason).toContainText(REQUIRED_DOC),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,a-final-transition-records-a-result,tests/e2e/case-lifecycle-on-the-page.spec.ts,closing the case records the result that was picked,verified,"Follows the result through to storage: the case reads back in the final status and its result object's resultType is the one picked, so writing no result or the wrong one reddens it.",no,yes,resolves to a scenario,expect(String(result.resultType ?? result.type ?? '')).toBe(resultGranted),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,no-result-no-close,tests/e2e/case-lifecycle-on-the-page.spec.ts,the confirm button stays disabled until a result is picked,verified,"Asserts the confirm button is disabled with the result select on screen and no result picked, and then reads the case back to confirm it stayed in its current status.",yes,yes,resolves to a scenario,await expect(page.getByTestId('case-transition-confirm')).toBeDisabled(),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,suspend-then-resume,tests/e2e/case-lifecycle-on-the-page.spec.ts,suspend puts the marker and Resume in front of the handler,verified,"Asserts the suspended marker appears, that Resume is then offered, and that the marker clears after resuming; the deadline recomputation the scenario also requires is never read back from the case.",no,yes,resolves to a scenario,"await expect(page.getByTestId('case-suspended-marker')).toHaveCount(0, { timeout: 25_000 })",yes,yes,verified
openspec/specs/status-transition-engine/spec.md,extend-the-term,tests/e2e/case-lifecycle-on-the-page.spec.ts,extending the term moves the end date by the case type period,verified,"Polls the stored plannedEndDate until it is exactly fourteen days beyond the pre-extension value and asserts extensionCount rose by one, which is both halves of the scenario.",no,yes,resolves to a scenario,.poll(async () => Math.round((Date.parse(String(after.plannedEndDate)) - beforeEnd) / DAY)).toBe(14),yes,yes,verified
openspec/specs/status-transition-engine/spec.md,reopen-a-closed-case,tests/e2e/case-lifecycle-on-the-page.spec.ts,reopening a closed case returns it to the first status,verified,"Asserts Reopen is offered on the closed case, then polls the stored case back to the case type's initial status and asserts isFinalStatus is false, which is both halves of the scenario.",no,yes,resolves to a scenario,expect(reopened.isFinalStatus).toBe(false),yes,yes,verified
