citation_spec_path,anchor,test_file,test_name,verdict,justification,safety_relevant,gate19_credits_it,resolution,decisive_assertion
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-the-case-page-lists-its-contact-moments-req-kwz-12,tests/e2e/case-communication.spec.ts,the tab lists this case contacts and not another case one,dangling,"Anchor target openspec/changes/contact-moments/.../spec.md does not exist, so the row/column assertions prove nothing traceable.",no,no,target file does not exist,none
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-the-case-page-lists-its-contact-moments-req-kwz-12,tests/e2e/case-communication.spec.ts,the newest contact is the first row,dangling,Same missing change spec; the newest-first ordering assertion is real but the citation resolves to no file.,no,no,target file does not exist,none
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-the-case-page-lists-its-contact-moments-req-kwz-12,tests/e2e/case-communication.spec.ts,a case without contacts shows the tab and its empty state,dangling,Same missing change spec; empty-state plus HTTP-status assertions cannot be credited to an unresolvable anchor.,no,no,target file does not exist,none
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-you-log-a-contact-from-the-case-req-kwz-13,tests/e2e/case-communication.spec.ts,the Log contact form asks for five fields and none of the KCC ones,dangling,Same missing change spec; the five-field form assertion has no requirement to be measured against.,no,no,target file does not exist,none
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-a-contact-moment-names-its-case-req-kwz-11,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,dangling,Same missing change spec; stored case and relatedCases assertions are strong but the anchor resolves to nothing.,no,no,target file does not exist,none
openspec/changes/contact-moments/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,requirement-you-log-a-contact-from-the-case-req-kwz-13,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,dangling,"Same missing change spec; REQ-KWZ-13 anchor unresolvable, so the logged-call flow is untraceable.",no,no,target file does not exist,none
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-001-the-new-case-dialog-is-the-plain-form,tests/e2e/case-create-form.spec.ts,"opens the plain form, not the properties and JSON table",verified,Asserts both schema-inspection tabs absent and Create present; reopening the properties-and-JSON dialog reddens it.,no,no,resolves to a scenario,"await expect(dialog.getByRole('tab', { name: 'Properties' })).toHaveCount(0)"
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-001-the-new-case-dialog-is-the-plain-form,tests/e2e/case-create-form.spec.ts,asks only for the fields a handler fills,verified,"Loops the nine includeFields for presence and the excluded keys for absence, exactly the requirement's field list.",no,no,resolves to a scenario,"await expect(dialog.locator(`[data-cn-field=""${key}""]`), `the create form should ask for ${key}`).toHaveCount(1)"
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,"adds the chosen case type own questions, and drops them again on a change",verified,Asserts the type's questions are absent before and rendered after choosing; the drop-on-change half the title claims is never exercised.,yes,no,resolves to a scenario,await expect(dialog.getByText(CEILING)).toBeVisible({ timeout: 15000 })
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,files a case with its case type answers,partial,"Accepts the answer on case.properties OR as a caseProperty row, so the requirement's 'never as properties of the case itself' clause cannot fail.",yes,no,resolves to a scenario,expect(String(ceilingRow.value)).toBe('50000')
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,fills the title the chosen case type already answers,verified,"Reads the title field empty first, then equal to the case type's title after the pick: prefill breakage reddens.",no,no,resolves to a scenario,"await expect(titleInput).toHaveValue(CASE_TYPE_TITLE, { timeout: 15000 })"
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,leaves a title the handler typed alone,verified,"Types a title, waits for the type's questions as proof prefill ran, then asserts the typed value survived.",no,no,resolves to a scenario,await expect(titleInput).toHaveValue(typed)
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-005-the-form-answers-what-the-case-type-already-knows,tests/e2e/case-create-form.spec.ts,stores the case type starting status without asking for it,verified,"Asserts no status field in the dialog and the stored case holding the case type's initialStatus, both halves of the scenario.",no,no,resolves to a scenario,expect(String(created.status)).toBe(startStatusId)
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,tests/e2e/case-create-form.spec.ts,keeps Create disabled until a required case type question is answered,verified,"Reddens if the type's question stops rendering, but the decisive Create disabled/enabled assertion tests a validation REQ-FCF-003 never states.",yes,no,resolves to a scenario,await expect(dialog.getByText(CEILING)).toBeVisible({ timeout: 15000 })
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,tests/e2e/case-create-form.spec.ts,lays the fields out in two columns,verified,"Measures two distinct left edges and a description wider than 1.5x the title, not just the two-column class.",no,no,resolves to a scenario,expect(new Set(lefts).size).toBe(2)
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-006-the-dialog-reads-as-a-form-not-a-schema,tests/e2e/case-create-form.spec.ts,"labels a case type question in words, not as an identifier",partial,"Asserts sentence-case labelling, which is REQ-FCF-003 text; removing the two-column layout REQ-FCF-006 states would leave this green.",no,no,resolves to a scenario,"await expect(dialog.getByText(IDENTIFIER_LABEL, { exact: true })).toBeVisible()"
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-007-a-field-kept-off-the-create-form-stays-reachable-on-the-case,tests/e2e/case-create-form.spec.ts,keeps parent case off the create form and on the case itself,verified,Both halves: parentCase absent from the dialog and present in the case Data panel.,no,no,resolves to a scenario,"await expect(coreWidget, 'parent case should be editable on the case, though not on the create form').toContainText(/Parent case|Hoofdzaak/, { timeout: 15000 })"
openspec/specs/case-dashboard-view/spec.md,the-progress-tile-is-gone,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the identity row headlines the case, and the KPI tiles are gone",verified,"Asserts the Completed KPI card count is 0 and that no /milestones/progress request was made, the scenario's two THENs.",no,yes,resolves to a scenario,"expect(milestoneCalls, 'the case page no longer asks for milestone progress').toEqual([])"
openspec/specs/case-dashboard-view/spec.md,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the Data panel holds its content directly, with no card inside the card",partial,"Anchorless whole-file citation; case-dashboard-view states nothing about widget border, background or a repeated panel heading, so these chrome assertions map to no requirement.",no,no,no anchor: cites a whole spec file,"expect(chrome.border, 'a widget in a tab panel draws no border of its own: the strip drew it').toEqual(['0px', '0px', '0px', '0px'])"
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the strip holds exactly six tabs, in order, and no more",verified,"Exact tab count, exact label order and the four retired labels absent, matching the scenario clause for clause.",no,yes,resolves to a scenario,expect(labels).toEqual(TAB_LABELS)
openspec/specs/ncvue-w2-leaves-adoption/spec.md,,tests/e2e/case-detail-kpis-and-tabs.spec.ts,"the sidebar Notes tab renders the notes leaf, not an unknown element",partial,"Anchorless citation; the spec's notes requirement is about the @mention notification, which is never exercised, and test.skip passes silently if the tab is absent.",no,no,no anchor: cites a whole spec file,await expect(panel.locator('.cn-sidebar-tab__composer').first()).toBeVisible({ timeout: 15_000 })
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-004b-empty-dossier-shows-upload-cta-with-drag-and-drop-zone,tests/e2e/case-documents.spec.ts,a case without documents says so and still offers upload,verified,Asserts the empty state text and a visible Upload document button plus a sub-400 dossier query; only the drag-and-drop zone indicator is unasserted.,no,no,resolves to a scenario,"await expect(panel).toContainText(/No documents yet|Nog geen documenten/, { timeout: 20_000 })"
openspec/specs/document-zaakdossier/spec.md,scenario-req-zak-006b-restore-is-disabled-for-definitief-documents,tests/e2e/case-documents.spec.ts,"Versions on a row opens the panel, and restore is refused on a final document",partial,"The disabled check sits in a for-loop over restore.count(), so a panel with zero Restore buttons passes silently; tooltip text and both-versions-listed unasserted.",yes,no,resolves to a scenario,await expect(restore.nth(index)).toBeDisabled()
openspec/specs/case-dashboard-view/spec.md,the-number-reads-under-the-title,tests/e2e/case-header.spec.ts,"the case number, type, status and assignee read under the title",verified,"Reads the identifier subtitle exactly, so a broken binding reddens; the scenario's other half, the page title reading the case title, is never read.",no,yes,resolves to a scenario,"await expect(page.getByTestId('case-header-identifier')).toHaveText(caseIdentifier, { timeout: 20_000 })"
openspec/specs/case-dashboard-view/spec.md,status-and-deadline-sit-in-the-header-row,tests/e2e/case-header.spec.ts,the status badge and the overdue countdown sit in the row,verified,"Badge text equals the status NAME, countdown is visible in the danger variant with a day count, and the retired .cn-countdown-widget is asserted absent: all three THENs.",no,yes,resolves to a scenario,await expect(countdown).toHaveClass(/is-danger/)
openspec/specs/case-dashboard-view/spec.md,a-case-without-a-status-or-a-deadline-still-has-a-header,tests/e2e/case-header.spec.ts,a case with no status and no deadline still has a header,verified,Badge must read Unknown/Onbekend and the countdown must not exist; both THENs asserted on a case seeded with neither status nor deadline.,no,yes,resolves to a scenario,await expect(page.getByTestId('case-header-countdown')).toHaveCount(0)
openspec/specs/case-dashboard-view/spec.md,no-trail-is-rendered,tests/e2e/case-header.spec.ts,renders no breadcrumb trail above the case title,verified,"Asserts both the absent breadcrumb testid and the trail's exact signature node, which is the requirement's own wording.",no,yes,resolves to a scenario,"await expect(page.locator('[aria-current=""page""]').filter({ hasText: caseTitle })).toHaveCount(0)"
openspec/specs/case-dashboard-view/spec.md,the-strip-holds-six-tabs-and-no-more,tests/e2e/case-header.spec.ts,"the work tabs ARE the strip, in order, with nothing after them",verified,"Exact list equality against the six named tabs, so an extra tab, a missing one or a wrong order all redden; Files/Notes/Mail/Decisions are excluded by the equality.",no,yes,resolves to a scenario,expect(labels).toEqual(WORK_TABS)
openspec/specs/case-dashboard-view/spec.md,the-six-tabs-fit-a-laptop-screen,tests/e2e/case-header.spec.ts,"every work tab is reachable at 1024, with the strip above the fold",verified,"At 1024x768 asserts the strip above the fold and every one of the six tab boxes has width, height and sits inside 0..1024, with a length guard against an empty strip.",no,yes,resolves to a scenario,"expect(stripBox!.y, `the tab strip starts at y=${stripBox!.y}, below a 768px fold`).toBeLessThan(768)"
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-surface-is-absent-when-humaniq-is,tests/e2e/case-hours-leaf.spec.ts,the page renders its own widgets and no hours surface at all,verified,"With the page proven loaded, asserts the leaf widget, its caption, the hours heading and all three booking affordances are absent, which is exactly the scenario.",no,no,resolves to a scenario,await expect(page.getByText(HOURS_TITLE)).toHaveCount(0)
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,no-cross-app-register-query-survives,tests/e2e/case-hours-leaf.spec.ts,the page asks humaniq for nothing,partial,"Requirement is a static grep of src/manifest.json for register humaniq; the test only proves the case detail page fires no humaniq request, so a match elsewhere survives.",no,no,resolves to a scenario,"expect(asked, `the case page queried humaniq: ${asked.join(' | ')}...`).toEqual([])"
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,tests/e2e/case-hours-leaf.spec.ts,the tile leads with the hours on the case and the caller's own beneath,verified,"Asserts the leaf mounts with its caption, both figures printing real numbers and three affordances; the branch only registers when DOSSIQ_E2E_HUMANIQ=1, which nothing sets.",no,no,resolves to a scenario,"await readFigure(widget.getByTestId(HOOK.total), 'the total')"
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,the-leaf-reads-the-right-case,tests/e2e/case-hours-leaf.spec.ts,booking hours through the dialog raises the headline,partial,"Proves a booking raises the total, never the domainObjectType/domainObjectRef filter: an unfiltered leaf showing every case's hours rises by the same delta.",yes,no,resolves to a scenario,"await expect.poll(async () => readFigure(widget.getByTestId(HOOK.total), 'the total'), ...).toBeCloseTo(before + BOOKED_HOURS, 2)"
openspec/changes/hours-onto-humaniq-leaf/specs/case-hours-via-humaniq-leaf/spec.md,hours-render-on-a-case-with-humaniq-installed,tests/e2e/case-hours-leaf.spec.ts,"a running timer survives a reload, and stopping it returns the figures",partial,"The test is about timer persistence across a reload; the cited render scenario is touched only by a widget-visible check, and the bookings that explain the total are never listed.",no,no,resolves to a scenario,await expect(reloaded.getByTestId(HOOK.running)).toBeVisible({ timeout: 20_000 })
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,a case posted to the API is numbered in the year of its start date,verified,"Asserts the stored identifier matches YYYY-NNNN and the year half equals the start date year, which is REQ-CM-25's API scenario verbatim.",yes,no,no anchor: cites a whole spec file,"expect(String(stored.identifier).slice(0, 4), 'the year half is the year of the start date').toBe('2026')"
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,an existing number survives an edit to the case,verified,"Edits the title and re-reads the object, asserting the pre-existing identifier survived; REQ-CM-25's 'an existing number stays' scenario.",yes,no,no anchor: cites a whole spec file,expect(stored.identifier).toBe(LEGACY_IDENTIFIER)
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the New case form asks for no number, and the case gets the next one",verified,"Asserts the form offers no identifier field, the filed case takes a higher sequence than any existing one, and the number shows on the case page.",yes,no,no anchor: cites a whole spec file,"expect(sequence, 'the new case must take a number no case of this year already holds').toBeGreaterThan(before)"
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,a tag added in the sidebar is on the case after a reload,verified,"Mints a tag in the sidebar tab, polls the stored object for it and re-reads it after a reload; REQ-CM-26's 'you add a tag on the case'.",no,no,no anchor: cites a whole spec file,"await expect(reopened.locator('[data-testid=""cn-object-sidebar-tab-tags""]')).toContainText(TYPED_TAG, { timeout: 20_000 })"
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the Cases index filters on a tag, and offers the filter",verified,"Asserts both halves of REQ-CM-26: tagged cases present, untagged absent, plus the Tags filter control in the sidebar.",no,no,no anchor: cites a whole spec file,"await expect(page.getByText(`${RUN_PREFIX} plain case ${suffix}`), 'an untagged case must not survive the filter').toHaveCount(0)"
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"the case shows its lead time, legal basis and archive nomination",verified,"Asserts statutoryTerm stored from the case type, the lead time and legal basis on the terms card and the archival appraisal in the metadata panel; REQ-CM-27.",no,no,no anchor: cites a whole spec file,await expect(terms).toContainText(PROCESSING_DEADLINE)
openspec/specs/case-management/spec.md,,tests/e2e/case-identity.spec.ts,"an empty archive action date is shown empty, not hidden",smoke,"test.fixme(true, ...) unconditionally: the body never executes, so no breakage of REQ-CM-27's 'empty fields stay visible' can ever redden it.",no,no,no anchor: cites a whole spec file,none
openspec/specs/status-transition-engine/spec.md,display-available-transitions-on-case-detail,tests/e2e/case-lifecycle-on-the-page.spec.ts,the header row lists only the transitions this user may take,verified,"The fixture seeds a roleGuard the signed-in admin does not satisfy, so the approve button must be absent while send_back is visible; dropping the guard reddens.",yes,yes,resolves to a scenario,await expect(page.getByTestId(`case-transition-${T.approve}`)).toHaveCount(0)
openspec/specs/status-transition-engine/spec.md,no-transitions-available,tests/e2e/case-lifecycle-on-the-page.spec.ts,a closed case offers no transitions and says it is closed,verified,"Asserts the closed marker is visible and both transitions are absent on a case seeded into the final status, which is both THENs.",yes,yes,resolves to a scenario,await expect(page.getByTestId(`case-transition-${T.close}`)).toHaveCount(0)
openspec/specs/status-transition-engine/spec.md,a-handler-advances-a-case,tests/e2e/case-lifecycle-on-the-page.spec.ts,a handler advances the case and the strip re-reads it,verified,"Reads the stored status back, requires transition-history 200 containing the target status, and asserts the strip re-lists the new status; the actor clause is never matched.",no,yes,resolves to a scenario,expect(moved.status).toBe(statusProgress)
openspec/specs/status-transition-engine/spec.md,required-document-guard-evaluation,tests/e2e/case-lifecycle-on-the-page.spec.ts,a failed guard disables the button and names what is missing,verified,"Asserts the guarded button is disabled, the reason names the missing document type, and the stored status has not moved, so a fail-open guard reddens on all three.",yes,yes,resolves to a scenario,await expect(button).toBeDisabled()
openspec/specs/status-transition-engine/spec.md,a-final-transition-records-a-result,tests/e2e/case-lifecycle-on-the-page.spec.ts,closing the case records the result that was picked,verified,Picks Verleend in the dialog and reads back both the final status and the linked result object's type from the register.,no,yes,resolves to a scenario,expect(String(result.resultType ?? result.type ?? '')).toBe(resultGranted)
openspec/specs/status-transition-engine/spec.md,no-result-no-close,tests/e2e/case-lifecycle-on-the-page.spec.ts,the confirm button stays disabled until a result is picked,verified,"Asserts confirm is disabled with no result picked and that the stored status is still statusProgress, which is the refusal the scenario names.",yes,yes,resolves to a scenario,await expect(page.getByTestId('case-transition-confirm')).toBeDisabled()
openspec/specs/status-transition-engine/spec.md,suspend-then-resume,tests/e2e/case-lifecycle-on-the-page.spec.ts,suspend puts the marker and Resume in front of the handler,verified,Drives suspend then resume and asserts the marker appears with a Resume action and is cleared afterwards; the recompute-the-deadline clause is never read back.,no,yes,resolves to a scenario,"await expect(page.getByTestId('case-suspended-marker')).toHaveCount(0, { timeout: 25_000 })"
openspec/specs/status-transition-engine/spec.md,extend-the-term,tests/e2e/case-lifecycle-on-the-page.spec.ts,extending the term moves the end date by the case type period,verified,Polls the stored plannedEndDate for exactly a 14-day shift and asserts extensionCount incremented by one: both THENs on stored data.,no,yes,resolves to a scenario,await expect.poll(async () => { ... }).toBe(14)
openspec/specs/status-transition-engine/spec.md,reopen-a-closed-case,tests/e2e/case-lifecycle-on-the-page.spec.ts,reopening a closed case returns it to the first status,verified,"Asserts Reopen is offered on the closed case, the status returns to the initial status and isFinalStatus flips to false; the reopen SCOPE is never exercised (runs as admin).",yes,yes,resolves to a scenario,expect(reopened.isFinalStatus).toBe(false)
openspec/specs/case-dashboard-view/spec.md,the-current-step-is-marked,tests/e2e/case-lifecycle-on-the-page.spec.ts,the stepper marks the step the case is in,verified,"Asserts three stages with completed/current/upcoming in that order plus exactly one aria-current=step, which is the scenario line by line.",no,yes,resolves to a scenario,await expect(stages.nth(1)).toHaveClass(/cn-timeline-stages__stage--current/)
openspec/specs/case-dashboard-view/spec.md,the-stepper-follows-a-transition,tests/e2e/case-lifecycle-on-the-page.spec.ts,the stepper follows a transition without a reload,verified,Takes the close transition and asserts the stepper marks the final stage current and the previous completed with no page.goto in between.,no,yes,resolves to a scenario,"await expect(stages.nth(2)).toHaveClass(/cn-timeline-stages__stage--current/, { timeout: 25_000 })"
openspec/specs/my-work/spec.md,,tests/e2e/case-list-lenses.spec.ts,"All is the lens you land on, and Mine is one click away",verified,Asserts All is the active landing chip and that Mine drops the other user's case; my-work 'All is the lens you land on' scenario verbatim.,no,no,no anchor: cites a whole spec file,"await expect(chip(page, CHIPS.all)).toHaveAttribute('aria-selected', 'true')"
openspec/specs/my-work/spec.md,,tests/e2e/case-list-lenses.spec.ts,"Unclaimed shows what nobody has picked up, and the Queue agrees",verified,Asserts the Unclaimed chip drops the assigned case on Cases and that the Queue page answers the same set; my-work 'Unclaimed shows what nobody has picked up'.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'mine-open')).toHaveCount(0)"
openspec/specs/my-work/spec.md,,tests/e2e/case-list-lenses.spec.ts,All shows the other person's case and the closed one,verified,Asserts All lists the other person's open case and the closed one; my-work 'All shows every open and closed case'.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'mine-closed').first()).toBeVisible({ timeout: 30_000 })"
openspec/specs/my-work/spec.md,,tests/e2e/case-list-lenses.spec.ts,choosing a chip replaces the previous one rather than stacking,verified,"Asserts exactly one chip is active after a second click and that the previous chip's rows are gone, so filters replaced rather than stacked.",no,no,no anchor: cites a whole spec file,"await expect(page.getByRole('tab').and(page.locator('[aria-selected=""true""]'))).toHaveCount(1)"
openspec/specs/case-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,a closed case leaves Mine,verified,"Asserts the closed case is absent under Mine, which is REQ-CM-31's 'a closed case leaves Mine' scenario.",no,no,no anchor: cites a whole spec file,"await expect(row(page, 'mine-closed')).toHaveCount(0)"
openspec/specs/case-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Closed shows the closed case and not the open one,verified,Asserts Closed lists the final-status case and drops the open one; REQ-CM-31's second scenario.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'mine-open')).toHaveCount(0)"
openspec/specs/signalering-widgets/spec.md,,tests/e2e/case-list-lenses.spec.ts,the Deadline cell counts the days left,verified,Reads the deadline-countdown cell text and asserts the day count and the absence of the overdue class; signalering 'Days left on each row'.,no,no,no anchor: cites a whole spec file,"await expect(cell).toHaveText(/3 (days left|dagen)/, { timeout: 20_000 })"
openspec/specs/signalering-widgets/spec.md,,tests/e2e/case-list-lenses.spec.ts,"a past deadline reads as overdue, and carries the overdue class",verified,Asserts both clauses of 'Past due reads red': the 2 days overdue text and the styling class that colours the cell.,no,no,no anchor: cites a whole spec file,await expect(cell).toHaveClass(/is-overdue/)
openspec/specs/signalering-widgets/spec.md,,tests/e2e/case-list-lenses.spec.ts,Overdue shows the open overdue case only,verified,Asserts the Overdue chip drops the closed overdue case and the not-yet-due case; signalering 'Overdue shows only open cases past their deadline'.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'closed-overdue')).toHaveCount(0)"
openspec/specs/case-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Due this week shows the case due in three days and neither neighbour,verified,Asserts both edges of the half-open window by excluding the 30-day case and the overdue case; REQ-CASE-LTA-001's scenario verbatim.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'mine-far')).toHaveCount(0)"
openspec/specs/signalering-widgets/spec.md,,tests/e2e/case-list-lenses.spec.ts,the Overdue stat tile links to exactly the Overdue chip filter,verified,"Follows the kpi-overdue tile and asserts the landed URL carries deadline[lt]=@today and isFinalStatus=false, then that the list narrows accordingly.",no,no,no anchor: cites a whole spec file,expect(query.get('deadline[lt]')).toMatch(dateTokenPattern('@today'))
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,the Tasks index lands on All and offers Mine,verified,Asserts All is the default chip on Tasks and that Mine both shows the assigned task and drops the other user's; REQ-TASK-016 scenario.,no,no,no anchor: cites a whole spec file,"await expect(chip(page, CHIPS.all)).toHaveAttribute('aria-selected', 'true')"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Unclaimed on Tasks shows the open task nobody holds,verified,"Asserts Unclaimed drops the completed, the mine and the other-held task while settling on the pooled one; REQ-TASK-016's Unclaimed scenario.",no,no,no anchor: cites a whole spec file,"await expect(row(page, 'task-other')).toHaveCount(0)"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,All on Tasks shows the completed task too,verified,"Asserts the All lens still lists a terminal task, which is REQ-TASK-016's 'All shows every task'.",no,no,no anchor: cites a whole spec file,"await expect(row(page, 'task-done').first()).toBeVisible({ timeout: 30_000 })"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Closed on Tasks shows the completed task and not the open one,verified,Asserts Closed settles on the completed task and drops the open one; REQ-TASK-017's 'Closed shows the completed task'.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'task-mine')).toHaveCount(0)"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Overdue on Tasks leaves out the task due later today,verified,"Asserts the Overdue lens excludes the task due later today, the exact instant-versus-date boundary REQ-TASK-017 names.",no,no,no anchor: cites a whole spec file,"await expect(row(page, 'task-due-today')).toHaveCount(0)"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,Due this week on Tasks holds both edges of the window,verified,Asserts both edges of the Due this week lens on the page; skips only when the engine is probed as not answering dueAfter/dueBefore at all.,no,no,no anchor: cites a whole spec file,"await expect(row(page, 'task-overdue')).toHaveCount(0)"
openspec/specs/task-management/spec.md,,tests/e2e/case-list-lenses.spec.ts,the task row shows the priority REQ-TASK-004 has always asked for,verified,"REQ-TASK-018's scenario is exactly 'the table SHALL carry a Priority column header', which is the single assertion made.",no,no,no anchor: cites a whole spec file,"await expect(page.getByRole('columnheader', { name: /^(Priority|Prioriteit)$/ })).toBeVisible({ timeout: 30_000 })"
